system,replicate,delta_q_main
RAFT-RAG,115,0.02815
RAFT-RAG,116,-0.079062
RAFT-RAG,117,-0.036149
RAFT-RAG,118,0.061372
RAFT-RAG,119,0.07429
RAFT-RAG,120,0.01584
RAFT-RAG,121,0.080289
RAFT-RAG,122,-0.011841
RAFT-RAG,123,0.146584
RAFT-RAG,124,0.0283
RAFT-RAG,125,0.052763
RAFT-RAG,126,0.159501
RAFT-RAG,127,0.097824
RAFT-RAG,128,0.023839
RAFT-RAG,129,-0.02584
RAFT-RAG,130,-0.051063
RAFT-RAG,131,-0.040296
RAFT-RAG,132,0.175812
RAFT-RAG,133,0.097824
RAFT-RAG,134,0.015385
RAFT-RAG,135,0.0586
RAFT-RAG,136,0.069979
RAFT-RAG,137,-0.020451
RAFT-RAG,138,0.067066
RAFT-RAG,139,0.005694
RAFT-RAG,140,-0.016454
RAFT-RAG,141,0.025378
RAFT-RAG,142,-0.014611
RAFT-RAG,143,0.111668
RAFT-RAG,144,0.042301
RAFT-RAG,145,0.041067
RAFT-RAG,146,0.018764
RAFT-RAG,147,0.021231
RAFT-RAG,148,0.055837
RAFT-RAG,149,-0.030617
RAFT-RAG,150,0.089979
RAFT-RAG,151,0.066147
RAFT-RAG,152,0.002929
RAFT-RAG,153,-0.042761
RAFT-RAG,154,0.019071
RAFT-RAG,155,-0.029995
RAFT-RAG,156,0.067219
RAFT-RAG,157,0.043837
RAFT-RAG,158,0.009076
RAFT-RAG,159,-0.05706
RAFT-RAG,160,0.070908
RAFT-RAG,161,0.182576
RAFT-RAG,162,0.093206
RAFT-RAG,163,0.045683
RAFT-RAG,164,0.117362
RAFT-RAG,165,-0.002306
RAFT-RAG,166,0.026454
RAFT-RAG,167,-0.090439
RAFT-RAG,168,0.056909
RAFT-RAG,169,0.092596
RAFT-RAG,170,-0.011381
RAFT-RAG,171,0.046761
RAFT-RAG,172,-0.037076
RAFT-RAG,173,-0.055221
RAFT-RAG,174,-0.049217
RAFT-RAG,175,-0.008614
RAFT-RAG,176,0.041993
RAFT-RAG,177,0.03307
RAFT-RAG,178,0.010002
RAFT-RAG,179,0.023379
RAFT-RAG,180,0.065833
RAFT-RAG,181,0.051987
RAFT-RAG,182,0.047066
RAFT-RAG,183,0.05368
RAFT-RAG,184,-0.005851
RAFT-RAG,185,0.053375
RAFT-RAG,186,0.088593
RAFT-RAG,187,0.086597
RAFT-RAG,188,0.030298
RAFT-RAG,189,0.085525
RAFT-RAG,190,-0.026297
RAFT-RAG,191,0.023687
RAFT-RAG,192,-0.076604
RAFT-RAG,193,0.021691
RAFT-RAG,194,-0.034608
RAFT-RAG,195,0.040139
RAFT-RAG,196,0.143354
RAFT-RAG,197,0.152432
RAFT-RAG,198,-0.017995
RAFT-RAG,199,0.018766
RAFT-RAG,200,0.005542
RAFT-RAG,201,0.001231
RAFT-RAG,202,0.037073
RAFT-RAG,203,-0.007686
RAFT-RAG,204,0.003848
RAFT-RAG,205,0.079526
RAFT-RAG,206,0.059831
RAFT-RAG,207,0.072751
RAFT-RAG,208,-0.012148
RAFT-RAG,209,0.05677
RAFT-RAG,210,0.072913
RAFT-RAG,211,-0.074447
RAFT-RAG,212,-0.008152
RAFT-RAG,213,-0.031684
RAFT-RAG,214,-0.003232
RAFT-RAG,215,-0.028305
RAFT-RAG,216,0.194565
RAFT-RAG,217,0.009697
RAFT-RAG,218,-0.011686
RAFT-RAG,219,0.058295
RAFT-RAG,220,-0.06383
RAFT-RAG,221,0.042298
RAFT-RAG,222,-0.018614
RAFT-RAG,223,-0.002458
RAFT-RAG,224,-0.084592
RAFT-RAG,225,0.082287
RAFT-RAG,226,-0.019991
RAFT-RAG,227,0.079831
RAFT-RAG,228,0.012622
RAFT-RAG,229,0.062603
RAFT-RAG,230,-0.058441
RAFT-RAG,231,0.004461
RAFT-RAG,232,0.006456
RAFT-RAG,233,0.027995
RAFT-RAG,234,0.059679
RAFT-RAG,235,0.017082
RAFT-RAG,236,-0.02538
RAFT-RAG,237,0.066445
RAFT-RAG,238,0.085057
RAFT-RAG,239,-0.013846
RAFT-RAG,240,0.031834
RAFT-RAG,241,0.075828
RAFT-RAG,242,0.016768
RAFT-RAG,243,0.103202
RAFT-RAG,244,0.05584
RAFT-RAG,245,-0.062453
RAFT-RAG,246,-0.022306
RAFT-RAG,247,0.056757
RAFT-RAG,248,-0.09106
RAFT-RAG,249,0.066604
RAFT-RAG,250,-0.068141
RAFT-RAG,251,0.016147
RAFT-RAG,252,0.054759
RAFT-RAG,253,0.089367
RAFT-RAG,254,0.043989
RAFT-RAG,255,0.039681
RAFT-RAG,256,0.001393
RAFT-RAG,257,0.028607
RAFT-RAG,258,-0.001998
RAFT-RAG,259,0.008912
RAFT-RAG,260,-0.056757
RAFT-RAG,261,0.078445
RAFT-RAG,262,0.044297
RAFT-RAG,263,0.162273
RAFT-RAG,264,0.11936
RAFT-RAG,265,0.058295
RAFT-RAG,266,0.017835
RAFT-RAG,267,0.027997
RAFT-RAG,268,0.08906
RAFT-RAG,269,0.056602
RAFT-RAG,270,-0.011229
RAFT-RAG,271,0.053985
RAFT-RAG,272,0.007995
RAFT-RAG,273,-0.034449
RAFT-RAG,274,0.075835
RAFT-RAG,275,-0.050608
RAFT-RAG,276,0.064294
RAFT-RAG,277,0.031072
RAFT-RAG,278,0.041993
RAFT-RAG,279,-0.006614
RAFT-RAG,280,0.062298
RAFT-RAG,281,0.013229
RAFT-RAG,282,0.007537
RAFT-RAG,283,0.042606
RAFT-RAG,284,0.02061
RAFT-RAG,285,0.010002
RAFT-RAG,286,0.024763
RAFT-RAG,287,-0.018921
RAFT-RAG,288,-0.010148
RAFT-RAG,289,-0.055066
RAFT-RAG,290,-0.029986
RAFT-RAG,291,0.06076
RAFT-RAG,292,0.016604
RAFT-RAG,293,-0.014306
RAFT-RAG,294,0.066902
RAFT-RAG,295,-0.014916
RAFT-RAG,296,0.019233
RAFT-RAG,297,0.064599
RAFT-RAG,298,0.078293
RAFT-RAG,299,0.060596
RAFT-RAG,300,0.098598
RAFT-RAG,301,0.063225
RAFT-RAG,302,0.094592
RAFT-RAG,303,0.061982
RAFT-RAG,304,-0.072906
RAFT-RAG,305,-0.056912
RAFT-RAG,306,0.063837
RAFT-RAG,307,-0.078295
RAFT-RAG,308,-0.014766
RAFT-RAG,309,-0.007845
RAFT-RAG,310,0.007692
RAFT-RAG,311,0.053832
RAFT-RAG,312,0.075676
RAFT-RAG,313,0.000314
RAFT-RAG,314,0.114592
RAFT-RAG,315,0.006456
RAFT-RAG,316,-0.055373
RAFT-RAG,317,0.002772
RAFT-RAG,318,-0.032603
RAFT-RAG,319,0.001384
RAFT-RAG,320,0.039069
RAFT-RAG,321,0.001384
RAFT-RAG,322,0.076907
RAFT-RAG,323,0.0766
RAFT-RAG,324,0.016308
RAFT-RAG,325,0.141816
RAFT-RAG,326,0.116743
RAFT-RAG,327,0.092137
RAFT-RAG,328,0.051684
RAFT-RAG,329,0.042453
RAFT-RAG,330,0.069071
RAFT-RAG,331,0.155662
RAFT-RAG,332,0.034149
RAFT-RAG,333,-0.026909
RAFT-RAG,334,-0.029069
RAFT-RAG,335,0.038295
RAFT-RAG,336,-0.006614
RAFT-RAG,337,0.036145
RAFT-RAG,338,0.012765
RAFT-RAG,339,-0.053375
RAFT-RAG,340,0.012153
RAFT-RAG,341,0.044142
RAFT-RAG,342,0.048452
RAFT-RAG,343,0.125971
RAFT-RAG,344,0.042911
RAFT-RAG,345,-0.000765
RAFT-RAG,346,0.001386
RAFT-RAG,347,-0.02368
RAFT-RAG,348,-0.014458
RAFT-RAG,349,-0.000307
RAFT-RAG,350,-0.014151
RAFT-RAG,351,0.022462
RAFT-RAG,352,0.019069
RAFT-RAG,353,0.022922
RAFT-RAG,354,0.10598
RAFT-RAG,355,0.142118
RAFT-RAG,356,0.003075
RAFT-RAG,357,0.010919
RAFT-RAG,358,0.067371
RAFT-RAG,359,-0.020765
RAFT-RAG,360,0.051529
RAFT-RAG,361,-0.01508
RAFT-RAG,362,-0.105976
RAFT-RAG,363,0.021076
RAFT-RAG,364,-0.006766
RAFT-RAG,365,0.06891
RAFT-RAG,366,-0.008
RAFT-RAG,367,0.02553
RAFT-RAG,368,-0.031074
RAFT-RAG,369,0.094595
RAFT-RAG,370,0.025378
RAFT-RAG,371,-0.029069
RAFT-RAG,372,0.113361
RAFT-RAG,373,0.099055
RAFT-RAG,374,-0.049524
RAFT-RAG,375,0.006925
RAFT-RAG,376,0.033375
RAFT-RAG,377,0.121511
RAFT-RAG,378,0.022767
RAFT-RAG,379,0.062448
RAFT-RAG,380,-0.053527
RAFT-RAG,381,0.073525
RAFT-RAG,382,0.007997
RAFT-RAG,383,0.082439
RAFT-RAG,384,-0.02
RAFT-RAG,385,-0.016149
RAFT-RAG,386,0.04076
RAFT-RAG,387,-0.040765
RAFT-RAG,388,-0.072906
RAFT-RAG,389,-0.055068
RAFT-RAG,390,-0.018145
RAFT-RAG,391,0.033527
RAFT-RAG,392,-0.012155
RAFT-RAG,393,0.077214
RAFT-RAG,394,0.037223
RAFT-RAG,395,0.064602
RAFT-RAG,396,-0.028457
RAFT-RAG,397,-0.010312
RAFT-RAG,398,0.005999
RAFT-RAG,399,0.029688
RAFT-RAG,400,0.149813
RAFT-RAG,401,0.043532
RAFT-RAG,402,0.083527
RAFT-RAG,403,0.018919
RAFT-RAG,404,-0.006614
RAFT-RAG,405,0.014304
RAFT-RAG,406,0.171349
RAFT-RAG,407,0.03046
RAFT-RAG,408,0.071682
RAFT-RAG,409,0.073373
RAFT-RAG,410,0.050603
RAFT-RAG,411,0.045833
RAFT-RAG,412,0.021384
RAFT-RAG,413,0.037226
RAFT-RAG,414,0.047066
RAFT-RAG,415,-0.007542
RAFT-RAG,416,0.04954
RAFT-RAG,417,0.035218
RAFT-RAG,418,0.039231
RAFT-RAG,419,0.047221
RAFT-RAG,420,0.055063
RAFT-RAG,421,0.073675
RAFT-RAG,422,0.086902
RAFT-RAG,423,-0.007692
RAFT-RAG,424,0.072599
RAFT-RAG,425,-0.016609
RAFT-RAG,426,0.056757
RAFT-RAG,427,0.04353
RAFT-RAG,428,-0.069524
RAFT-RAG,429,-0.006614
RAFT-RAG,430,0.026914
RAFT-RAG,431,0.11228
RAFT-RAG,432,0.070448
RAFT-RAG,433,0.05322
RAFT-RAG,434,-0.008307
RAFT-RAG,435,0.017847
RAFT-RAG,436,0.024306
RAFT-RAG,437,0.042148
RAFT-RAG,438,0.112901
RAFT-RAG,439,0.045835
RAFT-RAG,440,0.032141
RAFT-RAG,441,0.049997
RAFT-RAG,442,0.023694
RAFT-RAG,443,0.067676
RAFT-RAG,444,0.105516
RAFT-RAG,445,0.088136
RAFT-RAG,446,-0.028914
RAFT-RAG,447,0.091365
RAFT-RAG,448,0.004461
RAFT-RAG,449,0.016613
RAFT-RAG,450,0.109212
RAFT-RAG,451,0.127829
RAFT-RAG,452,-0.058145
RAFT-RAG,453,0.013536
RAFT-RAG,454,0.085211
RAFT-RAG,455,-0.007387
RAFT-RAG,456,-0.034916
RAFT-RAG,457,0.025073
RAFT-RAG,458,0.078138
RAFT-RAG,459,-0.016149
RAFT-RAG,460,0.028769
RAFT-RAG,461,0.009226
RAFT-RAG,462,0.011074
RAFT-RAG,463,0.072599
RAFT-RAG,464,0.094747
RAFT-RAG,465,-0.016618
RAFT-RAG,466,-0.002458
RAFT-RAG,467,-0.028457
RAFT-RAG,468,-0.038462
RAFT-RAG,469,0.043225
RAFT-RAG,470,0.074911
RAFT-RAG,471,0.088288
RAFT-RAG,472,0.047374
RAFT-RAG,473,0.130894
RAFT-RAG,474,0.0483
RAFT-RAG,475,0.04784
RAFT-RAG,476,-0.013227
RAFT-RAG,477,0.071518
RAFT-RAG,478,0.008923
RAFT-RAG,479,-0.064299
RAFT-RAG,480,-0.006461
RAFT-RAG,481,0.03046
RAFT-RAG,482,0.06307
RAFT-RAG,483,0.044144
RAFT-RAG,484,-0.027528
RAFT-RAG,485,0.036297
RAFT-RAG,486,-0.00046
RAFT-RAG,487,-0.00046
RAFT-RAG,488,0.064754
RAFT-RAG,489,0.044918
RAFT-RAG,490,0.068605
RAFT-RAG,491,0.011998
RAFT-RAG,492,0.066292
RAFT-RAG,493,0.097824
RAFT-RAG,494,0.008455
RAFT-RAG,495,0.129203
RAFT-RAG,496,0.027535
RAFT-RAG,497,0.056916
RAFT-RAG,498,0.076907
RAFT-RAG,499,-0.0183
RAFT-RAG,500,-0.000765
CLM-RAG,1,-0.023572
CLM-RAG,2,0.077342
CLM-RAG,3,0.018004
CLM-RAG,4,0.082758
CLM-RAG,5,0.015042
CLM-RAG,6,0.0615
CLM-RAG,7,0.00885
CLM-RAG,8,-0.017876
CLM-RAG,9,0.063039
CLM-RAG,10,0.07026
CLM-RAG,11,-0.002339
CLM-RAG,12,0.09176
CLM-RAG,13,0.043077
CLM-RAG,14,-0.0393
CLM-RAG,15,0.131213
CLM-RAG,16,-0.004335
CLM-RAG,17,-0.061258
CLM-RAG,18,0.078919
CLM-RAG,19,0.020547
CLM-RAG,20,0.018728
CLM-RAG,21,-0.062249
CLM-RAG,22,-0.053718
CLM-RAG,23,0.00974
CLM-RAG,24,-0.042377
CLM-RAG,25,-0.00623
CLM-RAG,26,-0.012346
CLM-RAG,27,-0.058791
CLM-RAG,28,-0.014304
CLM-RAG,29,0.0778
CLM-RAG,30,-0.023153
CLM-RAG,31,0.032765
CLM-RAG,32,0.037037
CLM-RAG,33,0.061538
CLM-RAG,34,-0.017876
CLM-RAG,35,0.035842
CLM-RAG,36,0.014851
CLM-RAG,37,-0.010374
CLM-RAG,38,-0.015728
CLM-RAG,39,0.01527
CLM-RAG,40,0.016147
CLM-RAG,41,0.003534
CLM-RAG,42,-0.011112
CLM-RAG,43,0.032613
CLM-RAG,44,0.047807
CLM-RAG,45,0.040114
CLM-RAG,46,0.033222
CLM-RAG,47,0.060381
CLM-RAG,48,0.018423
CLM-RAG,49,0.009626
CLM-RAG,50,0.007654
CLM-RAG,51,0.086268
CLM-RAG,52,0.043382
CLM-RAG,53,0.009155
CLM-RAG,54,-0.043534
CLM-RAG,55,0.005773
CLM-RAG,56,0.004615
CLM-RAG,57,0.007807
CLM-RAG,58,0.08122
CLM-RAG,59,0.001157
CLM-RAG,60,0.007235
CLM-RAG,61,0.033656
CLM-RAG,62,0.016694
CLM-RAG,63,-0.00061
CLM-RAG,64,0.01115
CLM-RAG,65,0.01869
CLM-RAG,66,0.007654
CLM-RAG,67,0.038423
CLM-RAG,68,0.069498
CLM-RAG,69,-0.060139
CLM-RAG,70,0.033389
CLM-RAG,71,-0.003763
CLM-RAG,72,0.003815
CLM-RAG,73,0.118766
CLM-RAG,74,0.084373
CLM-RAG,75,-0.013222
CLM-RAG,76,0.088607
CLM-RAG,77,0.005353
CLM-RAG,78,0.020762
CLM-RAG,79,0.049931
CLM-RAG,80,0.099224
CLM-RAG,81,0.023801
CLM-RAG,82,-0.01508
CLM-RAG,83,-0.027412
CLM-RAG,84,-0.026611
CLM-RAG,85,0.052765
CLM-RAG,86,0.0578
CLM-RAG,87,0.019033
CLM-RAG,88,0.023039
CLM-RAG,89,0.006892
CLM-RAG,90,0.089979
CLM-RAG,91,0.073503
CLM-RAG,92,-0.04745
CLM-RAG,93,0.105835
CLM-RAG,94,0.046878
CLM-RAG,95,0.088302
CLM-RAG,96,0.016147
CLM-RAG,97,0.017509
CLM-RAG,98,-0.014418
CLM-RAG,99,0.003929
CLM-RAG,100,0.058462
CLM-RAG,101,0.009931
CLM-RAG,102,0.059376
CLM-RAG,103,0.01658
CLM-RAG,104,0.029536
CLM-RAG,105,0.065835
CLM-RAG,106,0.011622
CLM-RAG,107,0.045468
CLM-RAG,108,-0.069179
CLM-RAG,109,-0.057481
CLM-RAG,110,0.033222
CLM-RAG,111,0.056452
CLM-RAG,112,0.073375
CLM-RAG,113,0.082568
CLM-RAG,114,-0.003877
CLM-RAG,115,-0.003077
CLM-RAG,116,-0.025759
CLM-RAG,117,0.015347
CLM-RAG,118,0.020267
CLM-RAG,119,0.02965
CLM-RAG,120,-0.037723
CLM-RAG,121,-0.043763
CLM-RAG,122,0.001081
CLM-RAG,123,0.013503
CLM-RAG,124,0.085492
CLM-RAG,125,-0.015142
CLM-RAG,126,0.025811
CLM-RAG,127,0.05569
CLM-RAG,128,0.00754
CLM-RAG,129,-0.038067
CLM-RAG,130,-0.021067
CLM-RAG,131,0.050565
CLM-RAG,132,0.009193
CLM-RAG,133,0.080076
CLM-RAG,134,0.018514
CLM-RAG,135,0.041843
CLM-RAG,136,0.030388
CLM-RAG,137,0.075218
CLM-RAG,138,-0.005887
CLM-RAG,139,0.097062
CLM-RAG,140,0.038309
CLM-RAG,141,0.005696
CLM-RAG,142,0.039505
CLM-RAG,143,0.025225
CLM-RAG,144,0.049802
CLM-RAG,145,-0.105593
CLM-RAG,146,0.063649
CLM-RAG,147,0.029345
CLM-RAG,148,0.027845
CLM-RAG,149,0.031188
CLM-RAG,150,0.027807
CLM-RAG,151,-0.015537
CLM-RAG,152,0.063839
CLM-RAG,153,-0.068836
CLM-RAG,154,-0.018524
CLM-RAG,155,0.020724
CLM-RAG,156,0.069536
CLM-RAG,157,-0.00684
CLM-RAG,158,0.044577
CLM-RAG,159,-0.017609
CLM-RAG,160,-0.047869
CLM-RAG,161,-0.030198
CLM-RAG,162,-0.080634
CLM-RAG,163,0.013694
CLM-RAG,164,0.044577
CLM-RAG,165,0.041996
CLM-RAG,166,0.059071
CLM-RAG,167,-0.014532
CLM-RAG,168,0.005658
CLM-RAG,169,0.041767
CLM-RAG,170,0.004463
CLM-RAG,171,0.038423
CLM-RAG,172,-0.00061
CLM-RAG,173,0.027654
CLM-RAG,174,0.044463
CLM-RAG,175,0.064144
CLM-RAG,176,0.04211
CLM-RAG,177,0.079148
CLM-RAG,178,-0.003115
CLM-RAG,179,0.111022
CLM-RAG,180,0.053541
CLM-RAG,181,0.010045
CLM-RAG,182,0.061996
CLM-RAG,183,0.077685
CLM-RAG,184,0.002238
CLM-RAG,185,0.066916
CLM-RAG,186,0.104602
CLM-RAG,187,0.006459
CLM-RAG,188,0.013846
CLM-RAG,189,0.024463
CLM-RAG,190,0.07738
CLM-RAG,191,-0.001143
CLM-RAG,192,0.020305
CLM-RAG,193,-0.019643
CLM-RAG,194,0.021538
CLM-RAG,195,-0.012994
CLM-RAG,196,0.030159
CLM-RAG,197,0.071532
CLM-RAG,198,0.010083
CLM-RAG,199,0.043039
CLM-RAG,200,0.036733
CLM-RAG,201,-0.030069
CLM-RAG,202,-0.010146
CLM-RAG,203,-0.027107
CLM-RAG,204,0.121639
CLM-RAG,205,0.073527
CLM-RAG,206,-0.00403
CLM-RAG,207,-0.085478
CLM-RAG,208,-0.030717
CLM-RAG,209,0.088455
CLM-RAG,210,0.075766
CLM-RAG,211,0.107107
CLM-RAG,212,0.088455
CLM-RAG,213,0.049498
CLM-RAG,214,-0.05499
CLM-RAG,215,0.00473
CLM-RAG,216,-0.011913
CLM-RAG,217,0.071341
CLM-RAG,218,0.103839
CLM-RAG,219,0.02281
CLM-RAG,220,-0.014761
CLM-RAG,221,0.110603
CLM-RAG,222,-0.032523
CLM-RAG,223,0.065301
CLM-RAG,224,0.013198
CLM-RAG,225,0.055994
CLM-RAG,226,0.057495
CLM-RAG,227,-0.032027
CLM-RAG,228,0.044006
CLM-RAG,229,0.016771
CLM-RAG,230,-0.009993
CLM-RAG,231,0.086459
CLM-RAG,232,-0.003482
CLM-RAG,233,0.071532
CLM-RAG,234,0.039962
CLM-RAG,235,0.05307
CLM-RAG,236,0.010426
CLM-RAG,237,-0.050031
CLM-RAG,238,0.01869
CLM-RAG,239,0.011584
CLM-RAG,240,-0.003077
CLM-RAG,241,0.005773
CLM-RAG,242,0.071303
CLM-RAG,243,0.019962
CLM-RAG,244,0.029854
CLM-RAG,245,0.065073
CLM-RAG,246,0.034775
CLM-RAG,247,0.005735
CLM-RAG,248,0.015918
CLM-RAG,249,0.024272
CLM-RAG,250,0.05115
CLM-RAG,251,0.0593
CLM-RAG,252,0.05377
CLM-RAG,253,-0.028188
CLM-RAG,254,0.055842
CLM-RAG,255,-0.009612
CLM-RAG,256,0.019848
CLM-RAG,257,0.055613
CLM-RAG,258,0.049536
CLM-RAG,259,0.020738
CLM-RAG,260,0.038881
CLM-RAG,261,0.003039
CLM-RAG,262,-0.056642
CLM-RAG,263,0.050274
CLM-RAG,264,-0.038067
CLM-RAG,265,0.05658
CLM-RAG,266,0.015042
CLM-RAG,267,0.077457
CLM-RAG,268,0.081372
CLM-RAG,269,0.079681
CLM-RAG,270,-0.034685
CLM-RAG,271,0.010617
CLM-RAG,272,0.06534
CLM-RAG,273,0.043039
CLM-RAG,274,0.042734
CLM-RAG,275,0.043496
CLM-RAG,276,0.033503
CLM-RAG,277,0.086459
CLM-RAG,278,0.001195
CLM-RAG,279,0.052117
CLM-RAG,280,0.058728
CLM-RAG,281,0.01227
CLM-RAG,282,0.073503
CLM-RAG,283,0.005582
CLM-RAG,284,0.029193
CLM-RAG,285,0.030617
CLM-RAG,286,0.077342
CLM-RAG,287,0.0415
CLM-RAG,288,0.023815
CLM-RAG,289,-0.0393
CLM-RAG,290,-0.017076
CLM-RAG,291,-0.007297
CLM-RAG,292,0.016123
CLM-RAG,293,0.056109
CLM-RAG,294,0.018766
CLM-RAG,295,0.064882
CLM-RAG,296,0.013656
CLM-RAG,297,0.043001
CLM-RAG,298,0.009802
CLM-RAG,299,0.001538
CLM-RAG,300,-0.045416
CLM-RAG,301,-0.003572
CLM-RAG,302,0.003701
CLM-RAG,303,-0.025416
CLM-RAG,304,0.067069
CLM-RAG,305,0.053351
CLM-RAG,306,-0.037723
CLM-RAG,307,0.064806
CLM-RAG,308,-0.010845
CLM-RAG,309,0.083954
CLM-RAG,310,0.068888
CLM-RAG,311,-0.010655
CLM-RAG,312,0.098614
CLM-RAG,313,0.060877
CLM-RAG,314,0.016771
CLM-RAG,315,0.01166
CLM-RAG,316,0.012079
CLM-RAG,317,0.032117
CLM-RAG,318,0.022277
CLM-RAG,319,0.010922
CLM-RAG,320,0.022734
CLM-RAG,321,0.060534
CLM-RAG,322,-0.016223
CLM-RAG,323,0.036109
CLM-RAG,324,0.012727
CLM-RAG,325,-0.002924
CLM-RAG,326,0.019543
CLM-RAG,327,0.017966
CLM-RAG,328,0.013846
CLM-RAG,329,0.019657
CLM-RAG,330,0.018462
CLM-RAG,331,0.070579
CLM-RAG,332,-0.043139
CLM-RAG,333,0.091798
CLM-RAG,334,0.028583
CLM-RAG,335,0.003039
CLM-RAG,336,0.016147
CLM-RAG,337,-0.057723
CLM-RAG,338,-0.050374
CLM-RAG,339,0.021958
CLM-RAG,340,0.029231
CLM-RAG,341,0.035842
CLM-RAG,342,0.065378
CLM-RAG,343,0.012588
CLM-RAG,344,0.010617
CLM-RAG,345,0.10876
CLM-RAG,346,0.024539
CLM-RAG,347,0.101525
CLM-RAG,348,0.04492
CLM-RAG,349,-0.003763
CLM-RAG,350,-0.01508
CLM-RAG,351,0.06553
CLM-RAG,352,0.058766
CLM-RAG,353,0.081372
CLM-RAG,354,0.086878
CLM-RAG,355,-0.002453
CLM-RAG,356,-0.010769
CLM-RAG,357,-0.014532
CLM-RAG,358,-0.0008
CLM-RAG,359,0.072879
CLM-RAG,360,0.093184
CLM-RAG,361,0.038423
CLM-RAG,362,-0.006992
CLM-RAG,363,0.015194
CLM-RAG,364,0.050731
CLM-RAG,365,0.093032
CLM-RAG,366,0.051532
CLM-RAG,367,0.039657
CLM-RAG,368,0.060877
CLM-RAG,369,0.048583
CLM-RAG,370,-0.048836
CLM-RAG,371,0.11106
CLM-RAG,372,0.056109
CLM-RAG,373,0.028226
CLM-RAG,374,0.031836
CLM-RAG,375,0.020624
CLM-RAG,376,0.053375
CLM-RAG,377,-0.023572
CLM-RAG,378,-0.081372
CLM-RAG,379,-0.002339
CLM-RAG,380,-0.040534
CLM-RAG,381,-0.02192
CLM-RAG,382,0.021119
